Title,Date,Rating,Comments
FORD V FERRARI,4 January 2020,8/10,"Damon did Damon things, and Bale did Bale things. More importantly, this movie managed to be sports-y and non-sports-y all at once. You still get all the adrenaline and polish of a giant victory rally, but you also get the kind of character-driven drama that's typically reserved for awards season. Let's be clear: this is a dad movie, and I am the target dad. But I have never cared about race cars or watched people turn left on TV...and I absolutely loved all 150 minutes of this story. Movies are supposed to help you forget real life and remember real life all at once. That's just what this one did."
FORD V FERRARI,13 July 2021,10/10,"Great Film Awesome Cast. Josh Lucas in this Film was Fantastic at Playing that Big Shoot Ford Man. He was such a Slim Ball he was such a BIGGIT AND HE PLAYED THE PART WELL. NOT that I Agreed with him BUT VERY SURPRISED THAT NOBODY BARED HIM. Oh my God and so was his Father. The Man that was Hired to RACE THE CAR WAS THE BEST. And he wanted him FIRED THE VERY FIRST DAY. I Loved how the Driver PLAYED bye Always took his little son for Rides in his Race Car after he Won. I just Loved How Bale NEVER really went bye the rules. I also Loved his Voice and when his Wife asked him after a Fight with his Boss would you like a Drink. He said Yup a ""Sizzling Pop Please"" so his Wife brought him a Coke. Lol Sizzling Pop Awesome name then he asked for a Bowl of Ice Cream. He must of asked for that a few times in the Film. Sizzling Pop and Ice Cream. Just that accent in his Voice. But one Hell of a Racer. Great Film."
FORD V FERRARI,13 February 2020,10/10,"I actually agree with some of the other comments, especially the one that says something along the lines of this movie putting my faith in the movie business again. I expected bad acting on at least one of the two star actors parts (Damon, Bale), but this movie is good. A little slow in the beginning, but that's my only complaint (I literally fell asleep during the beginning and woke up and watched the rest of this great movie).The race at the end is good, but moreso from an emotional standpoint than an action packed standpoint. I feel like they could've had a few extra scenes to ""wow"" us at the end."
FORD V FERRARI,8 January 2020,9/10,"This film is like the cars it portrays. Slick on the surface, but complicated underneath. Yes it's a story born of corporate ambition in horn rimmed glasses and dark suits, driven by pride and stubbornness, but the heart of it is pure racing, to hell with money, marketing, good looks, any of that. I've watched half of this with my foot planted to the floor. The driving scenes are awesome, the roar of untamed engines (turn your sound up as loud as you dare!), shifting gears into blindness inducing speeds. Fast cars alone though can't carry a film, but thankfully the cast here is as great as the cars. Damon is very good as the lynchpin Shelby, as he drags Ford away from mass production and onto the racetrack to challenge Ferrari's dominance. Bale though, Bale is magnificent. His portrayal of somewhat renegade driver Ken Miles is the oil in the engine, the comic undertones with a 'my way or the highway' attitude. He literally drives this. The pacing is spot on, balancing the boardroom with the tarmac perfectly, all done with some Oceans 11 style slick, good ol rock n roll blasting out as men do manly things. It's a show piece with Ferrari painted as the bad guy. I'm fine with that. Yes the cars look sexy, ""If this were a beauty pageant, we just lost"", but gimme the brute force of the Ford GT40 any day. There's a ton of excitement and energy before the cars even get to Le Mans, but seeing that GT tear up the French countryside gets the heart pounding. Doesn't matter that I already knew the outcome, it's still exhilarating with some of the best racing scenes in any film, ever!"
FORD V FERRARI,22 February 2020,10/10,"First off I really cant stand Christian Bale or his acting. Ive never been a fan on anything hes done. I will be honest, he did an outstanding job and was clearly the right person to play this character. Even Matt Damon killed it and they both played off each other perfect. I really cant find any flaws in the story, the acting, the directing or anything that goes along in movies. It was almost a perfect movie for me and easily makes my top ten movies of all time. The way they filmed it and created the story is really top notch. If you haven't seen this no question it is worthy of your time and money. Ive probably watched it now 20 times and it has officially been added to my ""goto comfort list"".
Such a great movie..."
FORD V FERRARI,7 January 2020,6/10,"This seems to have been made only for car race/sports fans.
Cannot imagine how worst it'd have been if the 2 main characters would've played by someone else than Christian Bale & Matt Damon.
Although this is purely a biographical make, it had some stunning race sequences but it didn't please me much, maybe because I expected a lot and maybe the addition of commercial elements could've been a good engagement factor but there seemed to be nothing except a clash with the executive on a decent note."
FORD V FERRARI,17 November 2019,8/10,"James Mangold is a great director and has given us amazing films like Walk the Line and his last film Logan which has impressed us immensely. His newest film, Ford v Ferrari, is another entertaining and well made film that adds to Mangold's filmography.Ford v Ferrari tells the story of car designer Carroll Shelby and driver Ken Miles who build a race car for Ford in order to defeat Ferrari at the 24 hour race known as Le Mans in 1966.This movie is one of the best of the year which audiences and car enthusiasts will enjoy throughout. You can tell how much care and effort was put into this project once you watch the film. The racing sequences were really well shot and a blast to witness. None of it felt fake or seemed like a CGI fest because of how practical everything seemed. It must have been really difficult to film those scenes but the crew pulled it off beautifully. The overall look of the movie was gorgeous. It really captured the essence of the time period this film is set in which contributed to the authenticity of everything shown.The acting from everyone was amazing. Matt Damon gives a solid performance and his partner in crime, Christian Bale, also provides the same result. Both stars have great chemistry with each other and are a joy to see. Jon Bernthal was also great as well as the rest of the supporting cast.The film clocks in at 2 hours and 30 minutes but it didn't feel like that all. The first half did drag a little bit as it mainly consisted of business meetings and proposals but it doesn't affect the pacing much. Once the racing starts, the time flies. James Mangold does an excellent job directing especially during the racing scenes which flowed well and was easy to watch. He adds a level of intensity to them through the visuals rather than using loud music or crazy slo-mo which I admire. The screenplay had great moments of character and a surprising amount of funny dialogues. Not once did it feel boring.I have to admit I wasn't expecting Ford v Ferrari to be THIS good! The characters were engaging, the acting was spot on, the races felt intense and the aesthetics were great. If this film were to be nominated at the Oscars, I wouldn't mind. Hats off to everyone who worked on the movie as they gave it their all."
FORD V FERRARI,10 December 2020,8/10,"A new movie had a bad start. At first I was so bored that it lasted half of the movie, then the movie improved dramatically. The movie was great among all the cast. The story is excellent. I loved the father-son relationship, the director and producer in the movie, it was excellent. Music in the movie was good. If it were a shorter movie it would have been much better"
FORD V FERRARI,28 January 2020,9/10,"Ford vs Ferrari is that old school Hollywood drama that Hollywood doesn't make anymore. This movie reminded me of some excellent films that I have watched long ago. Ford v Ferrari definitely is included in those excellent list of movies now. This movie gives us the chills and adrenaline pumps not only in the racing scenes but most of the other scenes. Matt Damon and Christian Bale were so good as the leading pair as expected. This project started as Tom Cruise and Brad Pitt in the leading roles but I couldn't think of anyone other than Matt and Christian for these roles. The movie has drama, comedy, great chills we expect from a racing movie, father son relationship, friendship, wife husband etc. The chances of this movie winning the best picture at Oscar's is few but it's definitely one of the best films I have seen this year and one of the two best racing drama's I have ever seen. P. S. Rush is the other one."
FORD V FERRARI,24 October 2020,8/10,"""Ford v Ferrari"" is a excellent film. The story of the Ford company competing in the La Mun race to beat the famous Ferrari is a wonderful story that comes to life. Matt Damon and Christian Bale team up for this awesome experience. All cars sequences are beautiful and well shot. Every close up and detail is beautifully made. What I most enjoyed was the chemistry between Bale and Damon's characters, how they've known each other for a while and need to trust one another to win the race. I also really loved the cars sequences and the whole buildup to the final moment of the movie. James Mangold has done a wonderful job and this film should have won more prizes other than technical prizes at the academy awards, it just deserves more appreciation."
FORD V FERRARI,26 August 2020,9/10,This is one of those movies where it's easy to overlook just how excellent it is or to forget a key component of what makes it so excellent. The central theme of the tension between vision and collaboration plays central to what makes this movie so great. It has staked out a philosophical position and sets about defending that position within the context of an engaging movie plot. I immediately think of Ghostbusters (1984) as having that philosophy as an easily overlooked component to what makes the movie so great. Fine performances all around and solid pacing sell this point of view while making sure it never overwhelms the movie and becomes preachy. Great movie. it'll be neat to see how it's reputation fares as the years and decades begin piling up. Don't have to be a racing fan to love this.
FORD V FERRARI,29 July 2020,8/10,"Biopics can be a hard sell at times. Whether you're diving into the troubled life of an addict or exploring someone's sexuality, there are many touchy subjects these days. With that said, I feel there are also those that will stand the test of time, in terms of being able to please a wide audience. Ford v Ferrari is one of the latest true stories out of Hollywood that will be hitting the big screen soon, and here's why I believe it absolutely deserves attention."
FORD V FERRARI,20 November 2019,7/10,"There is a lot to love and a lot to be frustrated about in Ford v Ferrari, which seems to be becoming a trend in Mangold movies (except The Wolverine - there's truly nothing to love in that horribly misguided movie). It is certainly an exhilarating car movie and underdog sports movie at its core, and the racing scenes are gorgeous and put the audience right into the driver's seat. It's a tight script which particularly shines in its dialogues between Shelby and the Ford execs or Ken. Bale is absolutely amazing, stealing every scene and injecting joy into all of the racing scenes.The biggest flaw of the movie is its apparent disinterest in its characters. Shelby is a great example of this - with the background we get early, I wanted some allusion or discussion of how he's devastated he can no longer race but loves being a part of the journey with Ken. None of that was ever implied, and that also gets at a larger and apparently controversial take: Damon's performance was disappointing. He was completely opaque and detached, never successfully selling me the anger with Ford or the love for working with the cars the way Bale did. Some lens into the psychology of the main characters and why racing meant so much to them would've been great. The race ending was fine in showing executive duplicity, but would've been better if we knew anything about the other Ford racers (and truthfully many explanations were left unsaid about how the process worked). The ending, while completely fitting in script, was rushed and sudden, making it less impactful than it deserved.It's still fun as a sports movie, leaving no moments of boredom while it flies through it's 2:32 runtime, but for a movie that tries to hit emotional notes and focus on its character interactions, I'm perplexed at how no investigation of their characters or themes of dedication to a lifelong passion existed whatsoever. A fun and good movie, but should've been a great one."
FORD V FERRARI,12 December 2020,9/10,"Wow, well I didn't expect that one bit. It's a brilliant film.
I'll be honest, when I saw what the story was about I wasn't sold hence why I have only watched now. But I'll admit when I'm wrong and I am very wrong. It's a incredibly interesting story that had me on the edge of my seat wanting to know what happened next. I think for a true story it did really well to keep the audience intrigued and kept the suspense well.I am a big fan of racing and cars so this was up my alley so I could be speaking a little bias, but I do think that this works well even if you don't have a keen interest in it.Beyond all that the acting is fantastic and I think this is well worth watching. Does it need to be as long as it is? Probably not, but I don't think it overly dragged at any stage. But yeah, give it a watch if you haven't seen already."
FORD V FERRARI,1 May 2021,9/10,I loved this movie. I was already excited when Bale and Damon joined the cast but to have Mangold tell this story was a cherry on top. I am not much of a car person but this had me invested and I did not look up what happened in history so I could be surprised by the story. The sound design for the cars are great and there are definitely some intense moments.
FORD V FERRARI,18 November 2019,8/10,"Ford is failing as a company and in a last ditch effort to drive sales back up, they decide to expand their racing division. Rather than spending years and untold millions perfecting their own racecars, they decide to buy out Ferrari, but all they get are manipulations and insults, starting the infamous rivalry between Enzo Ferrari and Henry Ford II. In retaliation, Ford enlist the help of Carroll Shelby to build them a car that can blow Ferrari's out of the water. And so was born the GT40. But a racecar is only half of it, they need a driver too, and Shelby's choice in Ken Miles is too hard a sell for the Ford executives.So which suits better, Ford v Ferrari or Le Mans '66? Honestly there isn't much of a movie without either. The Ford/Ferrari rivalry is what drives the first half of the movie, while preparation for Le Mans is what drives the second half. Throughout it's more of a Ken Miles biopic. I guess ""Ken Miles: The True Story"" wouldn't have sold many tickets though. And while Carroll Shelby does appear a lot, he's not explored as a character anywhere near as deeply as Ken Miles is. We don't learn anything about his home life, we don't get to see him wrestle with his demons, and the film's coda almost entirely revolves around Miles' affect on everyone around him.Ken Miles is the star of the movie, there's no doubt about that, and Christian Bale is unsurprisingly great in the role, slipping in like a chameleon, like he does with every character he plays. He's a down-on-his-luck auto-mechanic who can't even pay the bills, and despite his good connections in Shelby and his unmatched skill as a racing driver, his quick temper and difficulty to work with keeps him rooted in the amateur circuit. That is, of course, until Shelby gets the offer from Ford to give them the Le Mans win. It takes one failed year at the race for Shelby to convince the higher-ups at Ford that they need an expert driver who has hands-on experience with the GT40 in building and testing to really get them the win.Acting is fairly top-notch across the board, and it's hard to say Bale stole the show when almost everyone else keeps up so well. Matt Damon offers no surprises as Shelby, with his strongest scenes at the very end. Jon Bernthal gets a little shafted in the second half as Lee Iacocca, but he gets plenty of time to shine before then, particularly in the negotiations with Ferrari. Josh Lucas is deliciously punchable as Leo Beebe, the Ford suit put in charge of the racing division, who is portrayed here as having no clue about racing, is constantly against Ken Miles' involvement, and even costs him the win at the end in the name of a photo opportunity. Caitriona Balfe is great as Miles' wife, who takes no crap from her husband, and supports him wherever she can. Tracy Letts is also pretty good as the no-nonsense, stoic Henry Ford II, with his stand-out scene being in a GT40 prototype crying his eyes out. At first you think it's due to pure fear of the speeds he's experienced, but then you realise they're happy tears having restored faith in his racing project, and then they evolve again into sadness and regret that his father, Henry Ford senior, was no longer alive to experience such a pinnacle achievement in automotive machinery. It becomes a surprisingly emotive scene purely thanks to Letts' performance.Le Mans '66 also has merits in the technical department. It's like crack to a driving junkie, particularly anyone with even a passing interest in 60s sportscars or the racing scene. I've always had a passing interest in cars thanks to my mum and dad both being rally drivers in their younger years, so Le Mans '66 definitely struck a chord with me. The roar of the engines is palpable and infectious, and seeing all sorts of snazzy classic cars driving around was a delight. As I understand it a lot of the GT40s, Shelbys, and Ferraris, including 330 P3 and 275 GTB used in the movie were real, only employing CGI and dummies for crashes, giving the whole experience a feeling of authenticity.The only criticism I particularly have revolves around the film's coda, showing Ken Miles' death and the effect it had on some of the characters. It felt unnecessary and meant the film ended on a considerable downer. It would be like if Bohemian Rhapsody followed up the LiveAid performance with Freddie Mercury's death and the various members of Queen reacting to it. The ending of the Le Mans race was enough of a downer for Ken, having the victory stolen from him thanks to a technicality in a publicity stunt, and then the next scene they kill him off on a test track in front of his son. Sure, he died doing what he loved, but it felt like a bit too much of a one-two punch. Ending it just after the race as he graciously accepts second place would have sufficed. This is really more of a niggle and personal taste more than anything though. It might work for you.In all Le Mans '66 was an enjoyable cinema experience. It hit all the right notes for a casual car fan in myself, and I'm sure it'll hit them all for fanatics who lived through it like my parents. But for those without any interest in cars, there's still plenty here for you. The acting is fantastic, the story never lags, and the race sequences are thrilling from beginning to end. I give Le Mans '66 a solid 8/10."
FORD V FERRARI,26 May 2021,10/10,"This is a masterpiece that goes way beyond your average racing movie. Ford v Ferrari is a film that is so engaging that you cant help but feel you cannot look away, its phenomenal to say the least, the really know how to please an audience.Both lead actors (Damon & Bale) were so great in this, finally a movie that portrays incredible Oscar worthy performances by two actors I happen to love, I didnt think I'd see these two together in a film and it was indeed a masterpiece. I've not seen acting this good in a very long time, if you're looking to have faith in movies again look no further!The best part about this story is that it's a true one, I feel when true stories are the plot to the film its always executed perfectly (from what I've seen as far as true stories are concerned) this was a great watch. I'm a massive fan of Matt Damon, he goes way beyond Jason Bourne and I think he's very entertaining to watch at the best of times.I highly recommend watching this movie, its so beautifully crafted and the acting is spot on!"
FORD V FERRARI,11 October 2020,9/10,"I must say I have no interest in cars, I don't even drive so I really really have no interest in cars, but Matt Damon and Christian Bale were enough to make me watch Le Mans '66, and I'm very glad I did!The story was surprisingly gripping and intense, and despite having no knowledge of cars, motor racing etc, I was hooked and so invested in the story and the characters. At its heart this film is a story of perseverance, of belief, of friendship, of teamwork, of dedication. So whether you like cars or not, you'll be able to relate to the key themes and messages of Le Mans '66. It's a great film. It really is a great story, with the fantastic characters of Carroll Shelby and Ken Miles at the heart of it, two very interesting men who were well portrayed and explored. I loved the script as well, despite the fact that I didn't understand a word of all the car mumbo jumbo, I was still transfixed during those scenes, lapping it all up. There were some brilliant injections of humour in the script too, which worked so well and really added to the film.A large part of the success of this film comes from the performances which were great. Not surprising really as I've never once seen Christian Bale slip up in a performance - he's surely one of the finest actors working today. He really was the standout and it was hard not to enjoy his character and performance. Equally Matt Damon was fantastic, one of the better performances I've seen him in of late. The two of them had great chemistry together on screen and I'd love to see them working together again.The film also just had such a great vibe. That probably sounds a little vague, but its the best way of describing it. The direction was very slick, the camera work during the race scenes, the score and sound, and the overall tone of the film, all of them were spot on for me. Not to mention that it flew by considering the two and a half hour runtime. Always a sign that a film has nailed it pacing and flow and is edited to perfection!If like me you have no interest in cars, don't let that put you off a fantastic drama which ticks all the boxes. Le Mans '66 is a great film with a fantastic story, which will surely get you hooked from start to finish."
FORD V FERRARI,15 November 2019,6/10,A huge disappointment for racing fans ( and who else would watch this sort of film ?). No mention of the original designer of the GT40 Eric Broadley of British car maker Lola on whose GT mk VI the Ford was based. No mention of Denny Hulme who co-drove with Ken Miles. It's as if he didn't exist. WTF ?!The largely hammy acting by Christian Bale also a let down as Miles' brummie accent sounded more like cockney in Bale's portrayal. Really poor dialogue and not even close to the real story. The best thing about the film was the racing machinery used but in the driving sequences a car wouldn't have lasted 5 minutes the way Bale smashed through the gears.Nowhere near the class of the racing classics Grand Prix and Le Mans.
FORD V FERRARI,6 January 2020,8/10,"This has become my favorite car movie as there are no distracting sub-plots about love or whatever.
This is a straight forward car movie based on real events and the 2 and a half hours went by as if the movie was going 7000 RPMAmazing acting throughout8.2"
FORD V FERRARI,21 February 2021,7/10,"This was a fantastic film and I highly recommend this to movie fans, make an effort to see it. The script was tightly written, with entertaining dialogue. The cinematography was engaging, the acting was phenomenal and the direction was so well done that I was literally rooting for Ken Miles to win!Ford vs Ferrari is based on a true story and had me googling facts put to us in the film. It depicts the real life determination of Henry Ford II to beat Ferrari at Le Mans after Ferrari had one it 6 times in a row going bankrupt in the process and then mocking Ford's serious offer to buy Ferrari's company, while using his offer to get Fiat to make a better offer. In his determination to beat Ferrari at Le Mons, Ford engineer turned executive Lee Iacocca convinces Ford to let him put together a team of the best, which is how Carroll Shelby (the only American to have won at La Mons) and British born driver/engineer Ken Miles come to be working on the Ford Racing Team...and the rest as they say is history.The film does an excellent job building the characters and getting you to invest emotionally in the outcome. I have never been a racing fan...but I was right there on the edge of my seat rooting Ken Miles on! There is also an excellent villain developed in the Ford Executive Leo Beebe. It sounds like he really did rob Ken Miles out of the triple crown. I really hope there is a special place in hell.I want to give a special thank you for the depiction of Ken Miles' wife, Mollie. Often racing movies depict the females as bimbos or so weak-hearted that they are always trying to talk their man out of racing because it is dangerous. Mollie Miles was portrayed as a solid wife and mother, who not only knew a little something about cars but was supportive of her husband and a stand up individual.I never thought I would see the day that I would be googling and reading articles about auto-racing. True fact Mario Andretti and my Dad are the same age, who knew!"
FORD V FERRARI,13 April 2020,7/10,"I did not receive the gene that fires interest in cars. I do not drive; I have no passion, not one iota for cars and engines and mechanics. I don't understand them and don't particularly want to do so. Which is why this film had little attraction for me.But it was Easter weekend, and it was on cheap to rent, and at wife's recommendation (who had seen it in the cinema), we watched it. I still have no interest in cars and engines, having watched it. There were parts of the dialogue I didn't understand a word of - or more correctly, I understood most of the words, but not the order they were used in. Those parts of the script I did understand seemed often to be lazy and far too much on the nose. Christian Bale's performance is odd to the point of being unintentionally laughable; replete with Mary Poppins-like Britishisms which sound out of place even coming from this British actor, whose accent in this film is hard to take seriously. On the other hand, Matt Damon is quietly brilliant, very possibly his best performance in many years; unshowy, subtle and investing his character with a depth the script never reaches.There remain other inadequacies in the film: a ludicrous brawl between the two lead characters, and a pathetic reduction of women to roles which support or prop-up the men, peering through curtains, fetching drinks, adorning visuals. Why are cars always referred to in the feminine? It became more obvious to me here; because it enables the men who drive them and build them to continue to exploit them and shape them around their needs the way they do with women in their lives.In the end, this is little more than a genre sports film, following all of the standard story beats of sports films to a conclusion I knew was coming as a sports fan with only a very passing knowledge of motorsport. It's a true story, but no less generic for it. But it does work - motorsports are the most cinematic of sports, not least because we have much of the film grammar of them drilled into us by car chases and the like. The racing scenes are adrenalised, gripping and alarming - the louder your sound system and the larger your screen, the more you'll enjoy them. They are beautifully directed; and throughout the whole film, the cinematography is subtle but strikingly beautiful. There's much to enjoy and entertain, perfect for a holiday weekend. But it will fade from the memory quickly, the only lingering question being why it garnered so much attention on cinematic release at the expense of far superior films from female directors."
FORD V FERRARI,11 March 2020,6/10,"So for all who love cars, this is your thing. When men drive in circles with fast machines. In times of climate changes it looks funny to see and hear all this loud motors. And maybe that's the best of the movie: the great sound design.Christian Bales acting is wonderful but really close to The fighter fro 2010 and director David O. Russell - which brought him an Oscar."
FORD V FERRARI,15 November 2019,8/10,"Remember how much fun FAST AND FURIOUS was when it started and was about the cars with no CGI and lots of interpersonal dynamics and whatnot? That is this -- a movie for car people. I have raced and went with another car racer -- we loved it. The history, the speed, the cars, you could almost smell the gasoline. The performances are outstanding. The race scenes are breathtaking. This is a great movie! Lot of history here about Carrol Shelby I didn't know about. Fun!"
FORD V FERRARI,9 May 2020,8/10,"""Ford v Ferrari"", based on the 2009 book ""Go Like Hell: Ford, Ferrari and Their Battle for Speed and Glory at Le Mans"", is adrenaline-fueled entertainment, not just for a for racing fans but non-racing fans too. What makes this movie so great are the performances of all the cast, but especially M. Demon and C. Bale - who gives a rock-solid performance that shows the intensity and determination of his character. Damon as - a quite memorable character too, is superb as - 'Caroll Shelby' as he fights for what he believes. But actually, what really makes this film even better is the chemistry that Demon and Bale create together. It feels like they've been friends for life. If the film has a fault, it's that it stops short of showing us what exactly drives both men. The racing scenes are superbly realized, kinetic and thrilling, although there's often a little too much fast-cutting pedal-shots. No mater, the crowning achievement of ""Ford v Ferrari"" is its portrayal of the Les Mans race in 1966 with quite emotional climax. Ultimately, film doesn't disappoint and is highly recommendable.Rating: 8-"
FORD V FERRARI,9 February 2020,7/10,The titular battle is the most poorly executed aspect of the film with not enough reasons given to like one and dislike the other (Shelby's cheating doesn't help). The main duo vs. the suits is more engaging but it still feels a bit generic when it's not centered on Bale's passionate Ken Miles-it's that infectious turn (along with the strong music and technical elements) that steers the film away from mediocrity; every scene in which he takes the wheel (in both senses) shines.
FORD V FERRARI,3 April 2020,10/10,"Le Mans 66'Le Mans 66' or 'Ford Vs Ferrari' depending on where you are from is up there with the best racing car movies.
James Mangold delivers an exciting movie for those who like all things petrol powered and also for those who want to be invested in a gripping story.
The script is tightly bolted down and accelerated by two charismatic lead performances from Christian Bale and Matt Damon.
The story tells of how the Ford motor company took the fight to Ferrari at Le Mans after a business deal went sour.
Ford where on the cusp of acquiring the Italian sports car maker but after negotiations broke down they decided to take on the impossible task of beating Ferrari at their own game.
Damon plays legendary driver and car maker Carol Shelby who is tasked with building a credible machine whilst Bale is sublime as the man who will drive it, the straight talking race hero Ken Miles.
As aforementioned the script is good but it's the chemistry of the two leads that will captivate the audience.
Director James Mangold is coming from a high note after the excellent 'Logan' and the action scenes in 'Le Mans 66' have the same razor sharp precision as his last blockbuster.
The car racing sequences are handled expertly and never become 'Fast & Furious' unbelievable.
They're grounded in reality making the danger all the more apparent.In terms of audio and visual quality 'Le Mans 66' is delicious in Ultra High Definition.
It may not always be 4K crisp. There's a vintage feel to the picture quality.
The onscreen image is packed full of detail with High Dynamic Range helping the motor masterpieces sparkle. Yet there's still a little film grain to convey that this movie is set in the past.
Audio is also splendid.
Bass is thunderous as the cars race through your listening environment.
This is a film worthy of a good home theatre set up.
Each speaker getting plenty to do with sound effects and musical score coming to the forefront.'Le Mans 66' is a must for fans of the genre but it's also just a plain good old movie all round.
Mangold has blended the drama with the dynamics to deliver a solid piece of movie making."
FORD V FERRARI,30 October 2019,4/10,"Technically dazzling and well-acted film, but the script is a dull thud. Scenes are often contrived, sometimes exasperingly so, such as when Ken Miles (Christian Bale) explaiins the details of the Le Mans circuit to his son (Noah Jupe), or Carroll Shelby (Matt Damon) demonstrates the need for a first-rate driver to Henry Ford II (excellent Tracy Letts). Come on, writers! Couldn't you do better than this?Very much a boy's adventure pic with a slight seasoning of 'vulnerable man' stuff thrown in as a sop to 21st century sensibilities. In the only female role of any consequence, Caitriona Balfe is strong and supportive, but, for all the difference her character makes to the story, she might just as well not be there.In the manner of all films about motor racing (e.g. GRAND PRIX, John Frankenheimer's 1966 movie), the race footage is what it's all about, and some of FORD v FERRARI's is genuinely thrilling. The story that surrounds it, interesting though it is, inevitably seems tame by comparison."
FORD V FERRARI,16 November 2019,,"Ford v Ferrari (2019) - 7.3Act 1 - 6.7Act 2 - 7.3Act 3. - 7.9
1st act creation and failiure and now Shelby is in chargeFight is great2nd act win Daytona and practicing and letting Miles drive3rd act the race and devastationCorporate greed ruining a pure momentNot a fan of Bale's performance as it feels like a caricature and not a real person at timesDidn't like how they had him constantly talk to the car while driving and those scenes would have been more powerful with silence and focusDamon gives a good performance and is someone who is easy to root forThe top brass at Ford felt unbelievably generic and no qualities that were unique and stood outFilm tries to be a rousing inspiration but falls flat at timesThe race scenes are filmed very wellThe ending is a bummer but it is real life and real life doesn't always go as plannedDialogue doesn't always connect and the direction is sometimes shoddyThe stuff with Miles's family works good and the first act of the film with the setup could have been cut down a bit to save time as this film does feel its lengthFilm is still well made overall and I'm sure will hit well with the typical audience memberFilm was just too by the number for my liking and didn't take any chances to liven this film up a bit"
FORD V FERRARI,16 November 2019,,The racing sequences are simply thrilling and intense. The cinematography and editing are just crazy. The script is well written. There are plenty of twists and turns. The ending is beyond everyone's expectation.Bale and Damon are marvelous. Bale's British accent makes him totally unrecognizable. Mangold proves again that he is brilliant in directing an action thriller.
FORD V FERRARI,1 November 2019,9/10,"Ford v Ferrari thrills by simulating the record-breaking pace of the cars on the tracks, but really captivates because we care deeply about the men trying to make the victory happen.
Before his back-to-back dips into the comic-book universes of Wolverine (Hugh Jackman) and the X-Men - in the films Logan and The Wolverine - James Mangold nimbly danced through genres in search of compelling characters. He'd make a Tom Cruise actioner like Knight & Day, but add on a bumbling innocent character to spice up the routine spy genre. He'd plunge into a conventional biopic like Walk the Line, but reinvent it with the aide of two commanding performance at the head of his Johnny Cash story.
Mangold's back at the helm of a sturdy, red-blooded American story of ingenuity and stick-to-your-guns re-invention for the spectacular new Ford v Ferrari. You've probably seen this type of story told before, but rarely this well, with supreme talents overcoming nearly impossible odds to achieve a goal everyone tells them they can't get.
It's the late 1960s, and Henry Ford II (Tracy Letts) faces a serious issue. The Ford brand, time-tested and baked into the American popular culture, is struggling to contend against an onslaught of cooler, hipper cars. Kids coming back from the war hardly want to plunk down cash on the cars on which their dads used to depend. Ford needs bold, company-saving ideas, and Lee Iacocca (Jon Bernthal) has one.
Iacocca wants Ford to compete on the global racing circuit. Specifically, Iacocca wants Ford to go head-to-head with the dominant force of the international circuit: Enzo Ferrari (Remo Girone). To do that, Ford recruits two men with intimate knowledge of this field: celebrated automotive designer Carroll Shelby (Matt Damon), who raced in and won the annual 24 Hours of LeMans in 1959; and Ken Miles (Christian Bale), a hard-headed and short-tempered grease monkey who has a seamless connection to his automobiles, and might be the only person talented enough to drive the car Ford needs to build from scratch.
Even if you know the results of the 1966 24 Hours of Le Mans - and the outcome has been famous in the race world since the moment the event concluded - Mangold's Ford v Ferrari captivates and entertains with the peaks and valleys of the team's journey. The riveting drama spins a classic narrative of teamwork and ingenuity in the face of stifling adversity, as Shelby and Miles constantly had to convince Ford of the risks that needed to be taken if they actually wanted to win the race, and not just contend.
Mangold recruits two of the greatest male actors working today to play his leads, but they are overshadowed by one intangible co-star I like to call ""speed."" The racing scenes in Ford v Ferrari are breathtakingly innovative, with Mangold and his team routinely figuring out new ways to put us in the driver's seat of some of the fastest vehicles on the planet. The chief obstacle facing Shelby and Miles was making their protoptype race car faster, so the tests performed in the film had to convey that achievement. Ferrari thrills by simulating the record-breaking pace of the cars on the tracks, but really captivates because we care deeply about the men trying to make the victory happen.
Bale, in particular, is fantastic as the flawed and conceited Ken Miles, a dedicated husband and father who can't help but put his passion for cars ahead of the family he loves. He's conflicted by his desire to be around for them, but unable to resist the temptation that comes with the challenge of being right about the cars that Shelby fights to design. Arguably, Ford could not have competed at 24 Hours of Le Mans without Ken Miles' contributions, and I'd shudder to think of a version of Ford v Ferrari without Bale behind the wheel.
Under Mangold's watchful eye, Ford v Ferrari tells a stirring, inspirational story about professional pride, and tells it extremely well. The screenplay creates rich, complicated characters out of its underdog-sport template (though two supporting characters drag the main plot down with their unnecessary contributions), and Mangold's precision for filmmaking helps the ride stay perpetually smooth and swift. Hollywood used to specialize in these audience-bonding crowd pleasers. Now they are few and far between, so when one speeds along and is firing on all cylinders, so out of your way to support it."
FORD V FERRARI,1 June 2020,9/10,"Sometimes I really admire Hollywood. In fact, the story of this movie can be said to be a typical negative energy case where enthusiasm loses money and sports spirit loses to business operations. Half an hour! I haven't moved my eyes, and I don't think the various foreshadowings are superfluous (the competition part is actually more than half an hour). It's a very satisfying commercial movie experience."
